time,x0,x1,x2,x3,x4,x5
8.224,2.3466596222024093e-10,3.0762337477723825e-10,3.8847712025578123e-10,1.0587399725369377e-15,1.9223044700746112e-08,1e-05
8.226,2.3462231634977154e-10,3.075946412647113e-10,3.8841910775121325e-10,1.0584956430232985e-15,1.9223160725999576e-08,1e-05
8.228,2.345786898534666e-10,3.0756591777316556e-10,3.8836111963124037e-10,1.0582514331920357e-15,1.9223276702483732e-08,1e-05
8.23,2.3453508271837445e-10,3.075372042964046e-10,3.8830315587981276e-10,1.058007342957963e-15,1.922339263023068e-08,1e-05
8.232,2.3449149493156143e-10,3.075085008282386e-10,3.8824521648090214e-10,1.0577633722360137e-15,1.922350850927247e-08,1e-05
8.234,2.3444792648011176e-10,3.074798073624843e-10,3.8818730141850096e-10,1.0575195209412384e-15,1.9223624339641127e-08,1e-05
8.236,2.344043773511276e-10,3.074511238929649e-10,3.8812941067662313e-10,1.0572757889888062e-15,1.9223740121368612e-08,1e-05
8.238,2.343608475317291e-10,3.074224504135104e-10,3.880715442393036e-10,1.0570321762940064e-15,1.922385585448686e-08,1e-05
8.24,2.343173370090539e-10,3.073937869179567e-10,3.880137020905984e-10,1.0567886827722444e-15,1.922397153902777e-08,1e-05
8.242,2.3427384577025795e-10,3.073651334001469e-10,3.879558842145848e-10,1.0565453083390457e-15,1.9224087175023168e-08,1e-05
8.244,2.3423037380251487e-10,3.0733648985393053e-10,3.878980905953612e-10,1.0563020529100533e-15,1.922420276250487e-08,1e-05
8.246,2.3418692109301617e-10,3.0730785627316327e-10,3.878403212170472e-10,1.0560589164010292e-15,1.9224318301504636e-08,1e-05
8.248,2.3414348762897127e-10,3.0727923265170776e-10,3.8778257606378335e-10,1.0558158987278537e-15,1.922443379205418e-08,1e-05
8.25,2.341000733976074e-10,3.0725061898343294e-10,3.877248551197315e-10,1.0555729998065255e-15,1.922454923418518e-08,1e-05
8.252,2.3405667838616976e-10,3.0722201526221453e-10,3.8766715836907475e-10,1.0553302195531617e-15,1.9224664627929274e-08,1e-05
8.254,2.340133025819214e-10,3.071934214819345e-10,3.8760948579601725e-10,1.0550875578839986e-15,1.9224779973318053e-08,1e-05
8.256,2.339699459721434e-10,3.071648376364815e-10,3.8755183738478417e-10,1.0548450147153893e-15,1.9224895270383063e-08,1e-05
8.258000000000001,2.339266085441342e-10,3.071362637197508e-10,3.8749421311962215e-10,1.0546025899638074e-15,1.922501051915581e-08,1e-05
8.26,2.338832902852109e-10,3.0710769972564407e-10,3.8743661298479863e-10,1.0543602835458434e-15,1.9225125719667765e-08,1e-05
8.262,2.3383999118270775e-10,3.070791456480696e-10,3.8737903696460235e-10,1.0541180953782073e-15,1.9225240871950346e-08,1e-05
8.264,2.3379671122397733e-10,3.070506014809422e-10,3.873214850433433e-10,1.0538760253777265e-15,1.9225355976034933e-08,1e-05
8.266,2.337534503963899e-10,3.070220672181832e-10,3.872639572053523e-10,1.0536340734613475e-15,1.9225471031952865e-08,1e-05
8.268,2.3371020868733387e-10,3.0699354285372053e-10,3.8720645343498186e-10,1.0533922395461355e-15,1.922558603973544e-08,1e-05
8.27,2.336669860842151e-10,3.0696502838148854e-10,3.8714897371660507e-10,1.0531505235492738e-15,1.922570099941391e-08,1e-05
8.272,2.3362378257445754e-10,3.069365237954283e-10,3.870915180346166e-10,1.0529089253880643e-15,1.9225815911019484e-08,1e-05
8.274000000000001,2.335805981455032e-10,3.0690802908948734e-10,3.870340863734318e-10,1.0526674449799267e-15,1.922593077458333e-08,1e-05
8.276,2.335374327848117e-10,3.0687954425761953e-10,3.869766787174879e-10,1.0524260822424008e-15,1.9226045590136587e-08,1e-05
8.278,2.3349428647986065e-10,3.068510692937857e-10,3.8691929505124245e-10,1.0521848370931426e-15,1.9226160357710316e-08,1e-05
8.28,2.334511592181456e-10,3.068226041919528e-10,3.868619353591748e-10,1.0519437094499289e-15,1.9226275077335585e-08,1e-05
8.282,2.3340805098717986e-10,3.0679414894609467e-10,3.8680459962578506e-10,1.0517026992306524e-15,1.9226389749043376e-08,1e-05
8.284,2.3336496177449456e-10,3.067657035501914e-10,3.8674728783559467e-10,1.051461806353327e-15,1.9226504372864646e-08,1e-05
8.286,2.33321891567639e-10,3.0673726799822985e-10,3.866899999731461e-10,1.0512210307360835e-15,1.9226618948830318e-08,1e-05
8.288,2.3327884035418023e-10,3.0670884228420314e-10,3.866327360230031e-10,1.0509803722971707e-15,1.9226733476971262e-08,1e-05
8.290000000000001,2.332358081217028e-10,3.066804264021113e-10,3.8657549596975053e-10,1.0507398309549572e-15,1.9226847957318306e-08,1e-05
8.292,2.331927948578098e-10,3.066520203459606e-10,3.865182797979944e-10,1.0504994066279292e-15,1.9226962389902244e-08,1e-05
8.294,2.331498005501218e-10,3.066236241097641e-10,3.864610874923618e-10,1.0502590992346913e-15,1.9227076774753814e-08,1e-05
