time,x0,x1,x2,x3,x4,x5
4.66,3.1347329005311335e-10,3.5578237829672556e-10,4.913637181448644e-10,1.5159676926565296e-15,1.9017271034597135e-08,1e-05
4.662,3.1338692628511503e-10,3.557330998706318e-10,4.91252715422811e-10,1.515449709125776e-15,1.901749304055922e-08,1e-05
4.664,3.1330061856355776e-10,3.55683846771156e-10,4.911417814101248e-10,1.5149324910336625e-15,1.9017714909101814e-08,1e-05
4.666,3.1321436683338007e-10,3.556346189810475e-10,4.910309160431122e-10,1.5144160522766226e-15,1.9017936640352277e-08,1e-05
4.668,3.131281710396306e-10,3.555854164831443e-10,4.909201192582338e-10,1.5139004068869515e-15,1.9018158234437682e-08,1e-05
4.67,3.130420311274684e-10,3.555362392603726e-10,4.908093909921048e-10,1.5133855690328028e-15,1.9018379691484773e-08,1e-05
4.672,3.12955947042163e-10,3.554870872957472e-10,4.906987311814946e-10,1.5128715530181907e-15,1.9018601011620013e-08,1e-05
4.674,3.1286991872909394e-10,3.554379605723713e-10,4.905881397633274e-10,1.512358373282989e-15,1.9018822194969527e-08,1e-05
4.676,3.1278394613375146e-10,3.553888590734365e-10,4.904776166746821e-10,1.5118460444029321e-15,1.9019043241659145e-08,1e-05
4.678,3.1269802920173594e-10,3.553397827822229e-10,4.903671618527914e-10,1.5113345810896137e-15,1.9019264151814395e-08,1e-05
4.68,3.126121678787581e-10,3.552907316820991e-10,4.902567752350431e-10,1.510823998190488e-15,1.9019484925560474e-08,1e-05
4.682,3.12526362110639e-10,3.5524170575652186e-10,4.90146456758979e-10,1.510314310688868e-15,1.9019705563022287e-08,1e-05
4.684,3.1244061184331005e-10,3.5519270498903685e-10,4.900362063622961e-10,1.509805533703928e-15,1.901992606432443e-08,1e-05
4.686,3.123549170228131e-10,3.5514372936327767e-10,4.899260239828452e-10,1.5092976824907016e-15,1.9020146429591187e-08,1e-05
4.688,3.122692775953001e-10,3.5509477886296684e-10,4.89815909558632e-10,1.5087907724400825e-15,1.9020366658946527e-08,1e-05
4.69,3.121836935070335e-10,3.5504585347191495e-10,4.89705863027816e-10,1.5082848190788239e-15,1.9020586752514108e-08,1e-05
4.692,3.1209816470438615e-10,3.549969531740212e-10,4.895958843287123e-10,1.5077798380695399e-15,1.90208067104173e-08,1e-05
4.694,3.120126911338411e-10,3.549480779532732e-10,4.894859733997896e-10,1.5072758452107036e-15,1.9021026532779135e-08,1e-05
4.696,3.1192727274199177e-10,3.5489922779374715e-10,4.893761301796716e-10,1.5067728564366483e-15,1.902124621972236e-08,1e-05
4.698,3.1184190947554186e-10,3.548504026796074e-10,4.89266354607136e-10,1.5062708878175676e-15,1.9021465771369398e-08,1e-05
4.7,3.1175660128130553e-10,3.548016025951069e-10,4.891566466211158e-10,1.5057699555595146e-15,1.9021685187842373e-08,1e-05
4.702,3.116713481062072e-10,3.5475282752458724e-10,4.890470061606974e-10,1.5052700760044026e-15,1.902190446926309e-08,1e-05
4.704,3.1158614989728156e-10,3.5470407745247805e-10,4.889374331651225e-10,1.5047712656300048e-15,1.902212361575305e-08,1e-05
4.706,3.115010066016739e-10,3.5465535236329767e-10,4.888279275737868e-10,1.504273541049954e-15,1.9022342627433448e-08,1e-05
4.708,3.114159185346066e-10,3.546066517852943e-10,4.887184894675705e-10,1.5037738354788633e-15,1.9022561504145586e-08,1e-05
4.71,3.1133088611139456e-10,3.545579751228045e-10,4.886091189659092e-10,1.503268244424531e-15,1.90227802456545e-08,1e-05
4.712,3.112459085336811e-10,3.545093232856063e-10,4.884998157222014e-10,1.5027630349294053e-15,1.9022998852647125e-08,1e-05
4.714,3.1116098575205403e-10,3.5446069625484905e-10,4.883905796776136e-10,1.5022581989975789e-15,1.9023217325241138e-08,1e-05
4.716,3.110761177172526e-10,3.5441209401172043e-10,4.88281410773483e-10,1.5017537284294151e-15,1.902343566355387e-08,1e-05
4.718,3.109913043801661e-10,3.5436351653744617e-10,4.881723089513164e-10,1.5012496148215454e-15,1.9023653867702315e-08,1e-05
4.72,3.1090654569183554e-10,3.543149638132904e-10,4.880632741527904e-10,1.5007458495668717e-15,1.9023871937803136e-08,1e-05
4.722,3.108218416034521e-10,3.5426643582055515e-10,4.879543063197523e-10,1.5002424238545648e-15,1.9024089873972632e-08,1e-05
4.724,3.1073719206635817e-10,3.542179325405809e-10,4.878454053942189e-10,1.499739328670066e-15,1.9024307676326795e-08,1e-05
4.726,3.1065259703204697e-10,3.5416945395474623e-10,4.877365713183771e-10,1.4992365547950848e-15,1.902452534498125e-08,1e-05
4.728,3.105680564521625e-10,3.541210000444678e-10,4.876278040345844e-10,1.4987340928076014e-15,1.90247428800513e-08,1e-05
4.73,3.1048357027849964e-10,3.5407257079120055e-10,4.87519103485368e-10,1.4982319330818647e-15,1.902496028165189e-08,1e-05
4.732,3.103991384630042e-10,3.5402416617643765e-10,4.874104696134247e-10,1.4977300657883939e-15,1.9025177549897644e-08,1e-05
4.734,3.103147609577729e-10,3.5397578618171027e-10,4.873019023616221e-10,1.4972284808939772e-15,1.9025394684902834e-08,1e-05
4.736,3.1023043771505296e-10,3.5392743078858795e-10,4.871934016729974e-10,1.4967271681616722e-15,1.90256116867814e-08,1e-05
4.738,3.101461686872428e-10,3.538790999786784e-10,4.870849674907579e-10,1.496226117150806e-15,1.9025828555646926e-08,1e-05
4.74,3.100619538268917e-10,3.538307937336274e-10,4.869765997582813e-10,1.4957253172169762e-15,1.902604529161268e-08,1e-05
4.742,3.0997779308669965e-10,3.53782512035119e-10,4.86868298419115e-10,1.4952247575120489e-15,1.9026261894791575e-08,1e-05
4.744,3.0989368641951765e-10,3.537342548648753e-10,4.867600634169762e-10,1.4947244269841597e-15,1.9026478365296178e-08,1e-05
4.746,3.098096337783473e-10,3.5368602220465683e-10,4.86651894695753e-10,1.4942243143777142e-15,1.902669470323874e-08,1e-05
4.748,3.0972563511634137e-10,3.536378140362621e-10,4.865437921995029e-10,1.4937244082333876e-15,1.902691090873114e-08,1e-05
4.75,3.0964169038680336e-10,3.53589630341528e-10,4.864357558724535e-10,1.4932246968881246e-15,1.9027126981884953e-08,1e-05
4.752,3.095577995431876e-10,3.535414711023294e-10,4.863277856590026e-10,1.4927251684751388e-15,1.9027342922811382e-08,1e-05
4.7540000000000004,3.0947396253909906e-10,3.534933363005793e-10,4.862198815037178e-10,1.4922258109239133e-15,1.9027558731621308e-08,1e-05
4.756,3.0939017932829427e-10,3.5344522591822924e-10,4.861120433513373e-10,1.4917266119602021e-15,1.902777440842527e-08,1e-05
4.758,3.0930644986467976e-10,3.533971399372685e-10,4.860042711467691e-10,1.4912275591060277e-15,1.9027989953333458e-08,1e-05
4.76,3.0922277410231356e-10,3.533490783397249e-10,4.858965648350908e-10,1.4907286396796818e-15,1.9028205366455728e-08,1e-05
4.7620000000000005,3.091391519954042e-10,3.5330104110766437e-10,4.857889243615506e-10,1.490229840795726e-15,1.902842064790161e-08,1e-05
4.764,3.090555834983113e-10,3.532530282231908e-10,4.856813496715665e-10,1.4897311493649919e-15,1.902863579778027e-08,1e-05
4.766,3.08972068565545e-10,3.5320503966844646e-10,4.855738407107267e-10,1.48923255209458e-15,1.9028850816200544e-08,1e-05
4.768,3.088886071517668e-10,3.5315707542561187e-10,4.854663974247894e-10,1.4887340354878605e-15,1.9029065703270937e-08,1e-05
4.7700000000000005,3.0880519921178855e-10,3.5310913547690556e-10,4.85359019759683e-10,1.4882355858444727e-15,1.9029280459099598e-08,1e-05
4.772,3.087218447005734e-10,3.5306121980458434e-10,4.852517076615054e-10,1.4877371892603268e-15,1.902949508379435e-08,1e-05
4.774,3.08638543573235e-10,3.5301332839094315e-10,4.851444610765254e-10,1.4872388316276012e-15,1.9029709577462666e-08,1e-05
4.776,3.085552957850381e-10,3.5296546121831525e-10,4.850372799511809e-10,1.4867404986347442e-15,1.9029923940211684e-08,1e-05
4.7780000000000005,3.084721012913981e-10,3.529176182690717e-10,4.849301642320806e-10,1.486242175766473e-15,1.9030138172148207e-08,1e-05
