time,x0,x1,x2
0.49,0.999925428973882,4.481128414139351e-05,2.9759741976668475e-05
0.5,0.99992552847105,4.4512286182150396e-05,2.9959242767950154e-05
0.51,0.9999256226987341,4.4221199307498276e-05,3.0156101958522826e-05
0.52,0.9999257120028072,4.393757967840532e-05,3.0350417514473938e-05
0.53,0.9999257966690575,4.366105830734107e-05,3.054227263539932e-05
0.54,0.9999258769109813,4.3391356097464394e-05,3.073173292143966e-05
0.55,0.9999259529059761,4.312821709580031e-05,3.091887692825864e-05
0.56,0.9999260248100174,4.287141122627311e-05,3.1103778756572503e-05
0.5700000000000001,0.9999260927840568,4.262071434533931e-05,3.128650159798856e-05
0.58,0.9999261571037106,4.237578544101543e-05,3.146711084859872e-05
0.59,0.9999262180070267,4.213632470788455e-05,3.164566826555147e-05
0.6,0.9999262755782754,4.190219147769739e-05,3.182223024712882e-05
0.61,0.9999263299577938,4.167319126795546e-05,3.19968509384716e-05
0.62,0.9999263812946388,4.14491208024171e-05,3.216958455882339e-05
0.63,0.9999264297430146,4.1229772112339804e-05,3.2340484873405036e-05
0.64,0.999926475399547,4.101500453066186e-05,3.250959592257562e-05
0.65,0.9999265183683289,4.080467003591669e-05,3.2676961635450343e-05
0.66,0.9999265587633562,4.059861024903335e-05,3.2842626394979304e-05
0.67,0.999926596746698,4.03966122593597e-05,3.3006641042836146e-05
0.68,0.9999266323792931,4.019858130077372e-05,3.3169039406303226e-05
0.6900000000000001,0.9999266657494315,4.000439205742181e-05,3.332985851135991e-05
0.7000000000000001,0.9999266969418327,3.981392373150146e-05,3.348913443606037e-05
0.71,0.999926726073332,3.9627012659906244e-05,3.364691400821242e-05
0.72,0.9999267532027032,3.944357205187495e-05,3.380322524536512e-05
0.73,0.9999267784011734,3.926349835681289e-05,3.395810047008102e-05
0.74,0.9999268017339799,3.9086695757078685e-05,3.411157026332442e-05
0.75,0.9999268233122065,3.891301400359308e-05,3.4263673790169655e-05
0.76,0.9999268431833441,3.87423796553955e-05,3.4414437000482316e-05
0.77,0.9999268614090595,3.857470282116401e-05,3.456388811945726e-05
0.78,0.9999268780480957,3.840989766261566e-05,3.4712054241936865e-05
0.79,0.9999268931639511,3.824786752801329e-05,3.485896852102083e-05
0.8,0.9999269068070543,3.808853792142908e-05,3.5004655024452375e-05
0.81,0.9999269190253738,3.7931837118897537e-05,3.5149137507455744e-05
0.8200000000000001,0.9999269298655623,3.777769436378624e-05,3.529244007402843e-05
0.8300000000000001,0.9999269393720179,3.7626041913419826e-05,3.5434586068930304e-05
0.84,0.99992694758739,3.74768144165677e-05,3.557559819362225e-05
0.85,0.999926954559469,3.732994236755253e-05,3.5715498163650724e-05
0.86,0.9999269603463194,3.7185347188651645e-05,3.585430649208537e-05
0.87,0.9999269649824658,3.704297246303523e-05,3.599204507152463e-05
0.88,0.9999269685138604,3.690275132601897e-05,3.6128734813842854e-05
