time,x0,x1,x2
0.29,0.999901841662508,1.6282317952602128e-05,8.18760364394808e-05
0.3,0.9999018204284132,1.6277049239076924e-05,8.190253924777613e-05
0.31,0.9999017992046466,1.6271787338224074e-05,8.192902491527523e-05
0.32,0.9999017779911957,1.6266532234613932e-05,8.195549346977184e-05
0.33,0.9999017567880484,1.6261283912915163e-05,8.198194493881773e-05
0.34,0.9999017355951922,1.625604235782933e-05,8.200837934995682e-05
0.35000000000000003,0.9999017144126153,1.6250807554108564e-05,8.203479673066203e-05
0.36,0.9999016932403051,1.624557948652472e-05,8.20611971083538e-05
0.37,0.9999016720782499,1.62403581399059e-05,8.208758051037798e-05
0.38,0.999901650926437,1.623514349917378e-05,8.211394696398362e-05
0.39,0.9999016297848545,1.622993554927529e-05,8.214029649636386e-05
0.4,0.9999016086534901,1.622473427520733e-05,8.216662913464117e-05
0.41000000000000003,0.9999015875323322,1.621953966201678e-05,8.219294490586727e-05
0.42,0.9999015664213683,1.6214351694800528e-05,8.221924383702324e-05
0.43,0.9999015453205864,1.6209170358677205e-05,8.224552595503137e-05
0.44,0.9999015242299746,1.620399563873016e-05,8.227179128677956e-05
0.45,0.9999015031495208,1.6198827520268773e-05,8.22980398590101e-05
0.46,0.999901482079213,1.6193665988573902e-05,8.2324271698428e-05
0.47000000000000003,0.9999014610190395,1.6188511028975106e-05,8.235048683166806e-05
0.48,0.999901439968988,1.618336262685067e-05,8.237668528529494e-05
0.49,0.9999014189290467,1.617822076762761e-05,8.240286708580309e-05
0.5,0.9999013978992037,1.617308543678165e-05,8.242903225961685e-05
0.51,0.9999013768794472,1.6167956619681272e-05,8.24551808332455e-05
0.52,0.9999013558697651,1.6162834301967974e-05,8.248131283290503e-05
0.53,0.9999013348701462,1.615771846925358e-05,8.25074282848192e-05
0.54,0.9999013138805778,1.6152609107190505e-05,8.25335272151498e-05
0.55,0.9999012929010487,1.6147506201478517e-05,8.255960964998968e-05
0.56,0.999901271931547,1.6142409737864737e-05,8.258567561536294e-05
0.5700000000000001,0.9999012509720608,1.6137319702143646e-05,8.26117251372249e-05
0.58,0.9999012300225785,1.6132236080049543e-05,8.26377582416017e-05
0.59,0.9999012090830883,1.6127158857460027e-05,8.266377495432612e-05
0.6,0.9999011881535788,1.6122088020334977e-05,8.268977530111662e-05
0.61,0.9999011672340378,1.6117023554639936e-05,8.271575930767711e-05
0.62,0.999901146324454,1.61119654463864e-05,8.274172699964451e-05
0.63,0.9999011254248159,1.610691368163182e-05,8.276767840258866e-05
0.64,0.9999011045351117,1.6101868246479603e-05,8.279361354201254e-05
0.65,0.9999010836553296,1.609682912701856e-05,8.281953244343034e-05
0.66,0.9999010627854584,1.60917963093603e-05,8.284543513231923e-05
0.67,0.9999010419254865,1.6086769779798743e-05,8.287132163391305e-05
0.68,0.9999010210754021,1.6081749524603015e-05,8.289719197347016e-05
0.6900000000000001,0.999901000235194,1.6076735530086785e-05,8.292304617618373e-05
0.7000000000000001,0.9999009794048503,1.6071727782608256e-05,8.29488842671818e-05
0.71,0.99990095858436,1.6066726268570178e-05,8.297470627152719e-05
0.72,0.9999009377737115,1.606173097439337e-05,8.300051221425557e-05
0.73,0.9999009169728932,1.6056741886379407e-05,8.302630212057236e-05
0.74,0.9999008961818938,1.6051758991197693e-05,8.30520760151541e-05
0.75,0.9999008754007018,1.6046782275414685e-05,8.30778339228237e-05
0.76,0.9999008546293062,1.6041811725639678e-05,8.310357586834122e-05
0.77,0.9999008338676952,1.6036847328524585e-05,8.312930187640432e-05
0.78,0.9999008131158578,1.6031889070763675e-05,8.315501197164846e-05
0.79,0.9999007923737825,1.6026936939093332e-05,8.31807061786473e-05
0.8,0.999900771641458,1.6021990920291827e-05,8.320638452191297e-05
0.81,0.999900750918873,1.601705100117904e-05,8.32320470258964e-05
0.8200000000000001,0.9999007302060166,1.6012117168616262e-05,8.325769371498774e-05
0.8300000000000001,0.9999007095028771,1.6007189409505917e-05,8.32833246135165e-05
0.84,0.9999006888094436,1.600226771072555e-05,8.330893974578664e-05
0.85,0.999900668125705,1.5997352059057637e-05,8.333453913611374e-05
0.86,0.9999006474516499,1.5992442441658504e-05,8.336012280857814e-05
0.87,0.9999006267872672,1.598753884556543e-05,8.338569078728485e-05
0.88,0.9999006061325459,1.5982641257852673e-05,8.341124309628146e-05
