model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,debias_threshold,model_alpha,weight_eps,weight_std
72_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,1e-05
13_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.0
205_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.1
177_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.01
23_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.0
115_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.0001
131_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.001
134_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.001
18_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.0
36_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,1e-06
83_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,1e-05
24_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.0
157_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.01
124_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.001
22_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.0
146_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,0.001
27_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.0
45_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,1e-06
58_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,1e-06
97_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.0001
137_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.001
139_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.001
85_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,1e-05
127_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.001
197_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.1
