model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,model_alpha,weight_eps,weight_std
96_model,347.75888620849753,767.7815801682418,42185.959739582075,5346230.166988252,325.6289841319649,0.0,898309.5493630571,hydrogen_bromine_ode.csv,hydrogen_bromine,13.053743027024927,0.00010098468450572415,0.0001
124_model,319.9618717655871,729.2731299081848,22547.77562161897,4651453.351136398,218.95458414557496,0.0,779211.5527239727,hydrogen_bromine_ode.csv,hydrogen_bromine,99.94844112826969,4.995812711851579e-06,0.001
18_model,0.024818454754517136,0.30102712219687644,0.5411699383560787,5.309744352454959,0.002555292930406171,0.0,1.029885860115473,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00011228413129239159,1.2491870327582288e-06,0.0
100_model,144.1404589583274,617.1409678751543,14400.596108803633,543407.8352977838,44.952699313665256,0.0,93102.44425545576,hydrogen_bromine_ode.csv,hydrogen_bromine,0.0690545431362753,5.278230456536132e-05,0.0001
204_model,323.2205394866031,548.6154297724944,21968.550209317782,4607502.295995608,220.93166616079395,0.0,771760.6023067244,hydrogen_bromine_ode.csv,hydrogen_bromine,202630.7170037328,0.004043336833529763,0.1
183_model,0.008596162706149001,0.0013202220294738687,0.004543344859116416,0.5279489916178189,0.0004921890939184938,0.0,0.09048348505107945,hydrogen_bromine_ode.csv,hydrogen_bromine,2.7039662430093773e-05,1.1263537238115918e-05,0.1
141_model,5.6825610719053214,25.464973522499264,231.7155680816323,2720.409178427413,0.6423193483496927,0.0,497.3191000752999,hydrogen_bromine_ode.csv,hydrogen_bromine,0.002007566187578647,1.7594534826497084e-06,0.001
16_model,323.07336337434094,556.5185667681982,22799.625593773104,4561747.311266402,225.59162584125525,0.0,764275.3534026932,hydrogen_bromine_ode.csv,hydrogen_bromine,19.922733052162783,4.4449784710683543e-07,0.0
131_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,7.986077504186377e-06,1.225378847302896e-07,0.001
153_model,0.008900116461593291,0.0026310024624805035,0.0035441983551035934,0.6268983645578683,0.00032478557726305725,0.0,0.10704974456905146,hydrogen_bromine_ode.csv,hydrogen_bromine,2.7039662430093773e-05,1.1263537238115918e-05,0.01
208_model,323.57329108123736,549.3002148829621,22025.345333712816,4603983.707935939,218.8153548011965,0.0,771183.4570217361,hydrogen_bromine_ode.csv,hydrogen_bromine,6002.28238334061,0.00022303628790345937,0.1
209_model,182.94852651423406,837.9210221034673,21283.463078638604,902343.8170873955,75.62046721793489,0.0,154120.62836364497,hydrogen_bromine_ode.csv,hydrogen_bromine,0.05682963421204889,2.621017928780525e-05,0.1
32_model,329.96725045828214,604.390946423824,27089.577805740715,4773754.700462898,247.11037353523287,0.0,800337.624473176,hydrogen_bromine_ode.csv,hydrogen_bromine,188.19349978921883,0.0012137587328424069,1e-06
102_model,191.21740416081593,913.0084366568141,23218.626434546943,1010950.2466390741,85.55670818181424,0.0,172559.7759371034,hydrogen_bromine_ode.csv,hydrogen_bromine,0.24676368684401048,0.0003338180205189919,0.0001
87_model,333.3433986035976,622.2241381243001,29081.21075696678,4887841.915209107,258.6876785432292,0.0,819689.563530224,hydrogen_bromine_ode.csv,hydrogen_bromine,927.8933539638202,0.055548591807154254,1e-05
188_model,320.16847549936,1849.1644632068871,63289.26766784418,3773889.10370153,309.8828994969452,0.0,639942.931201263,hydrogen_bromine_ode.csv,hydrogen_bromine,0.01888717029071998,1.6969191344518737e-07,0.1
143_model,323.2221416827387,549.4626076543431,21980.677442131364,4607814.262301538,221.0318656787302,0.0,771814.7760597809,hydrogen_bromine_ode.csv,hydrogen_bromine,47963.634378534756,0.0020148991027690694,0.001
105_model,0.009438927041319753,0.0013168438256313134,0.0012769913927585224,0.1047009117417088,0.0005475583482404675,0.0,0.019546872058276477,hydrogen_bromine_ode.csv,hydrogen_bromine,0.00034364078868532217,0.007180389990094034,0.0001
128_model,313.10958814487464,1812.3183140712486,60265.070109850065,3527647.272874127,289.8261997557967,0.0,598387.9328476583,hydrogen_bromine_ode.csv,hydrogen_bromine,0.01888717029071998,1.6969191344518737e-07,0.001
69_model,322.3920611119519,558.5397295988334,22849.670414041793,4536819.177888023,226.3136123834006,0.0,760129.3489508597,hydrogen_bromine_ode.csv,hydrogen_bromine,2466.160386850043,0.010342237509875594,1e-05
